row_id,strategy,category,wave_id,target_case_relpath,target_inputs_relpath,observed_solver,observed_selected_case,observed_selected_inputs,case_match,inputs_match,row_score,console_entries,max_attempt,total_rate_limit_retries,last_attempt_rate_limit_retries,last_run_directory
35a4886cbb0b6d7a,simple,ABL,wave0,Exec/ABL,Exec/ABL/inputs_smagorinsky_msf,ERF,Exec/ABL,Exec/ABL/inputs_smagorinsky,1,0,0.7,1,1,1,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_163419_539785"
36ee01b9e53ba413,simple,ABL,wave1,Exec/ABL,Exec/ABL/inputs.read,ERF,Exec/ABL,Exec/ABL/inputs.read,1,1,1.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_163438_717551"
39df8cb2bf580e53,simple,CanonicalFlows,wave0,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,4,4,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_164338_130124"
3fefb88b407d4111,simple,RegTests,wave1,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_advdiffinflowoutflow,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_164444_446553"
40a94c16e74baa8b,simple,RegTests,wave1,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_FittedMesh,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,7,3,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_170128_531774"
436a11512a1422de,simple,RegTests,wave1,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_static_twolevel,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,3,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_171219_270772"
451e42f7895b87e8,simple,RegTests,wave0,Exec/RegTests/ParticleTests,Exec/RegTests/ParticleTests/inputs_over_hill,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,8,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_173026_150491"
499f1b2839a700fd,simple,RegTests,wave0,Exec/RegTests/Terrain2d_Cylinder,Exec/RegTests/Terrain2d_Cylinder/inputs_stretched_z_levels,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_173044_318762"
4a28e05d7ad8dddc,simple,RegTests,wave2,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_multilevel,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_msf,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_174511_193401"
4c2e15c7a2b1807e,simple,RegTests,wave2,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_advect_shearU_no_msf,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_no_msf,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_175613_091103"
4e49a70f9aa43608,simple,CanonicalFlows,wave1,Exec/CanonicalFlows/SquallLine_2D,Exec/CanonicalFlows/SquallLine_2D/inputs_moisture_Morrison,ERF,Exec/CanonicalFlows/SquallLine_2D,Exec/CanonicalFlows/SquallLine_2D/inputs_moisture_Morrison,1,1,1.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_175636_349780"
50fc59087cc65e41,simple,CanonicalFlows,wave2,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_refsoln,ERF,Exec/ABL,Exec/ABL/inputs_deardorff,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_175658_264030"
5502d952a197e044,simple,DevTests,wave1,Exec/DevTests/DataAssimilation,Exec/DevTests/DataAssimilation/inputs_advecting_coarse,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,15,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_183050_249859"
55d65853b3dc5807,simple,ABL,wave0,Exec/ABL,Exec/ABL/inputs_deardorff,ERF,Exec/ABL,Exec/ABL/inputs_deardorff,1,1,1.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_183110_538811"
56c7b5f8607b9e2b,simple,RegTests,wave0,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_multilevel,ERF,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_multilevel,1,1,1.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_184215_954341"
57a35b822fb3fb63,simple,ABL,wave2,Exec/ABL,Exec/ABL/inputs_deardorff,ERF,Exec/ABL,Exec/ABL/inputs_deardorff,1,1,1.0,1,1,4,4,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_185130_334576"
58ac9ebd5dbe5287,simple,RegTests,wave0,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_gaussian,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_190144_755440"
5a5b55bd50b2195b,simple,DevTests,wave0,Exec/DevTests/Tornado,Exec/DevTests/Tornado/inputs_tornado,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,10,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_192524_125254"
5b7211868a6fc7bd,simple,RegTests,wave2,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_FittedMesh,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_msf,0,0,0.0,1,1,3,3,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_193354_518079"
5bd21f3859c1c7ea,simple,ABL,wave0,Exec/ABL/Scaling/Perlmutter,Exec/ABL/Scaling/Perlmutter/inputs_smagorinsky_StrongScaling,ERF,Exec/ABL,Exec/ABL/inputs_smagorinsky,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_195012_419224"
5d36bcbbb3955583,simple,RegTests,wave0,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_EB_anelastic,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_poiseuille_x,0,0,0.0,1,1,4,4,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_195931_033977"
5d6d8a3e782072e0,simple,ABL,wave1,Exec/ABL/MYNN_Debug,Exec/ABL/MYNN_Debug/inputs_most_mynnedmf,ERF,Exec/ABL,Exec/ABL/inputs_most,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_201449_800759"
5dec9fb84c6b48e4,simple,RegTests,wave1,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_advect_shearU_msf,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,6,4,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_202730_207242"
5df5fbeb43411485,simple,DevTests,wave2,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch/inputs_1WT_x_y_Fitch,ERF,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch/inputs_1WT_x_y_Fitch,1,1,1.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_204302_161725"
6037371246cbeaf9,simple,ABL,wave0,Exec/ABL,Exec/ABL/inputs_most_msf,ERF,Exec/ABL,Exec/ABL/inputs_most,1,0,0.7,1,1,2,2,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_204729_723167"
61440a7571417cab,simple,RegTests,wave1,Exec/RegTests/ImmersedForcingTest,Exec/RegTests/ImmersedForcingTest/inputs_if_terrain_plusBuilding,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,10,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_211725_475594"
625ddcabb2d84b45,simple,CanonicalFlows,wave1,Exec/CanonicalFlows/Real_Terrain/Askervein,Exec/CanonicalFlows/Real_Terrain/Askervein/inputs_anel,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,6,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_213453_580931"
650ab438a4e15aa5,simple,RegTests,wave1,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_msf,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_213518_710173"
661578fbae6c6c98,simple,RegTests,wave1,Exec/RegTests/MetGrid,Exec/RegTests/MetGrid/inputs_metgrid,ERF,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_multilevel,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_213545_938436"
6679b106b67a72c7,simple,CanonicalFlows,wave2,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_crse_halfdomain,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_215024_701050"
67827a0a12f2782e,simple,RegTests,wave0,Exec/RegTests/TurbulentInflow,Exec/RegTests/TurbulentInflow/inputs_multilevel_ABL_source,ERF,Exec/RegTests/TurbulentInflow,Exec/RegTests/TurbulentInflow/inputs_multilevel_ABL_source,1,1,1.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_220416_655691"
67d45fafd496e5e1,simple,DevTests,wave1,Exec/DevTests/TropicalCyclone,Exec/DevTests/TropicalCyclone/inputs,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_221731_777500"
683f741d537d6446,simple,CanonicalFlows,wave2,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft,ERF,Exec/ABL,Exec/ABL/inputs_anel_most,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_221756_492794"
6861a4cd9e823196,simple,ABL,wave0,Exec/ABL/column_diffusion_test,Exec/ABL/column_diffusion_test/inputs_sfclay,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_msf,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_223151_559826"
6d64255a9f75b7f0,simple,ABL,wave1,Exec/ABL/Scaling/Aurora,Exec/ABL/Scaling/Aurora/inputs_smagorinsky_WeakScaling,ERF,Exec/ABL,Exec/ABL/inputs_smagorinsky,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_224643_760557"
7072c3dac4e98d2c,simple,DevTests,wave2,Exec/DevTests/WindFarmTests/SingleTurbine/EWP,Exec/DevTests/WindFarmTests/SingleTurbine/EWP/inputs_1WT_x_y_EWP,ERF,Exec/DevTests/WindFarmTests/SingleTurbine/EWP,Exec/DevTests/WindFarmTests/SingleTurbine/EWP/inputs_1WT_x_y_EWP,1,1,1.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_230245_493456"
75d5217a630e2f08,simple,CanonicalFlows,wave0,Exec/CanonicalFlows/Canonical_LES/Stable_ABL,Exec/CanonicalFlows/Canonical_LES/Stable_ABL/inputs_with_const_massflux,ERF,Exec/CanonicalFlows/Canonical_LES/Stable_ABL,Exec/CanonicalFlows/Canonical_LES/Stable_ABL/inputs_with_const_massflux,1,1,1.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_231346_606911"
79451bce1b25f5b5,simple,RegTests,wave1,Exec/RegTests/MovingTerrain,Exec/RegTests/MovingTerrain/inputs,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_x,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_232940_227453"
79c27203548041a9,simple,CanonicalFlows,wave0,Exec/CanonicalFlows/Real_Terrain/Askervein,Exec/CanonicalFlows/Real_Terrain/Askervein/inputs_anel,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,6,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_234157_668190"
79e1a7439abda7e0,simple,CanonicalFlows,wave1,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_hybrid_zlev,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_poiseuille_x,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_235725_997228"
7c133fd9955e3326,simple,ABL,wave0,Exec/ABL,Exec/ABL/inputs_canopy,ERF,Exec/ABL,Exec/ABL/inputs_canopy,1,1,1.0,1,1,1,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_000020_023373"
7c2dbb058ae9dd01,simple,ABL,wave2,Exec/ABL,Exec/ABL/inputs_most_test,ERF,Exec/ABL,Exec/ABL/inputs_most_test,1,1,1.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_000050_232857"
7d00c442b7e16ab1,simple,DevTests,wave0,Exec/DevTests/WindFarmTests/SingleTurbine/SimpleActuatorDisk/WithTerrain,Exec/DevTests/WindFarmTests/SingleTurbine/SimpleActuatorDisk/WithTerrain/inputs_1WT_x_y,ERF,Exec/DevTests/WindFarmTests/SingleTurbine/SimpleActuatorDisk/WithTerrain,Exec/DevTests/WindFarmTests/SingleTurbine/SimpleActuatorDisk/WithTerrain/inputs_1WT_x_y,1,1,1.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_000113_795561"
83e8394891c2b4f5,simple,CanonicalFlows,wave0,Exec/CanonicalFlows/EkmanSpiral,Exec/CanonicalFlows/EkmanSpiral/inputs_ideal,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,15,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_003239_300616"
83fe4a2b485cd186,simple,RegTests,wave2,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_no_msf,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_no_msf,0,0,0.0,1,1,2,2,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_003738_034441"
882f54a5e0b15e95,simple,RegTests,wave1,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting_no_msf,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_no_msf,0,0,0.0,1,1,1,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_003913_941115"
8910adb5f9352180,simple,DevTests,wave1,Exec/DevTests/Shoc,Exec/DevTests/Shoc/inputs_shoc,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,4,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_004942_294163"
89daffe9760ad84b,simple,RegTests,wave2,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_WENO,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,12,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_011745_016014"
8c07fcdb62c834d2,simple,ABL,wave0,Exec/ABL,Exec/ABL/inputs_smagorinsky,ERF,Exec/ABL,Exec/ABL/inputs_smagorinsky,1,1,1.0,1,1,1,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_012020_528804"
8db27d1f4b0ecf8d,simple,RegTests,wave1,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_ml,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,7,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_014349_321133"
8f2c280dffb509c9,simple,ABL,wave1,Exec/ABL/Scaling/Perlmutter,Exec/ABL/Scaling/Perlmutter/inputs_smagorinsky_WeakScaling,ERF,Exec/ABL,Exec/ABL/inputs_smagorinsky,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_014405_923907"
8f7ccf0243473c24,simple,RegTests,wave1,Exec/RegTests/ParticleTests,Exec/RegTests/ParticleTests/inputs_over_hill,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,11,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_021513_417235"
900b3f88f35b2073,simple,RegTests,wave0,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_EB_multilevel,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_poiseuille_x,0,0,0.0,1,1,2,2,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_022035_160055"
91d955c98dbaf8ec,simple,RegTests,wave1,Exec/RegTests/Bubble,Exec/RegTests/Bubble/inputs_squall2d_x,ERF,Exec/ABL,Exec/ABL/inputs_deardorff,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_022103_268770"
94772f74c97b17a1,simple,ABL,wave0,Exec/ABL,Exec/ABL/inputs_most,ERF,Exec/ABL,Exec/ABL/inputs_most,1,1,1.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_023836_999429"
9634472d23ee150d,simple,ABL,wave1,Exec/ABL/column_diffusion_test,Exec/ABL/column_diffusion_test/inputs_sfclay,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_msf,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_025250_623083"
975e73596660e2e4,simple,RegTests,wave0,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,1,1,1.0,1,1,2,2,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_030021_793870"
986363e97e04cf16,simple,RegTests,wave0,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_EB_y,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_poiseuille_y,0,0,0.0,1,1,1,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_030212_332127"
9a6fdfe94d4a0de8,simple,CanonicalFlows,wave2,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_hybrid,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,7,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_032116_710519"
9aa20744dbed59f7,simple,RegTests,wave1,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs_EB,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,14,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_035635_203598"
a4e50e087b4b88d1,simple,RegTests,wave0,Exec/RegTests/MultiSpeciesBubble,Exec/RegTests/MultiSpeciesBubble/inputs_moist_bubble.02species,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,0,0,0.0,1,1,1,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_035818_077274"
b4a636f4cce992b8,simple,RegTests,wave2,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_most_test,ERF,Exec/ABL,Exec/ABL/inputs_most_test,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_041003_451574"
b8c23290959781cc,simple,RegTests,wave0,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_stationary_no_msf,ERF,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_advdiff,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_042537_362264"
b9e263561623ce24,simple,DevTests,wave2,Exec/DevTests/WindFarmTests/WindFarm/Fitch,Exec/DevTests/WindFarmTests/WindFarm/Fitch/inputs_AWAKEN_Fitch_KingPlains,ERF,Exec/DevTests/WindFarmTests/WindFarm/Fitch,Exec/DevTests/WindFarmTests/WindFarm/Fitch/inputs_AWAKEN_Fitch_KingPlains,1,1,1.0,1,1,1,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_042736_934851"
bd834f7aa9fce2f1,simple,DevTests,wave0,Exec/DevTests/WindFarmTests/WindFarm/Fitch,Exec/DevTests/WindFarmTests/WindFarm/Fitch/inputs_AWAKEN_Fitch_KingPlains,ERF,Exec/DevTests/WindFarmTests/WindFarm/Fitch,Exec/DevTests/WindFarmTests/WindFarm/Fitch/inputs_AWAKEN_Fitch_KingPlains,1,1,1.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_042759_599477"
beabac2255eb1381,simple,RegTests,wave0,Exec/RegTests/MultiSpeciesBubble,Exec/RegTests/MultiSpeciesBubble/inputs_dry_bubble.01species,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_042835_076127"
c22b5166bc752ddc,simple,CanonicalFlows,wave2,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_hybrid_zlev,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_msf,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_044016_594834"
ca121bbd8567cee1,simple,ABL,wave2,Exec/ABL/Scaling/Perlmutter,Exec/ABL/Scaling/Perlmutter/inputs_smagorinsky_StrongScaling,ERF,Exec/ABL,Exec/ABL/inputs_smagorinsky,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_045356_396473"
d4ff3983e853152c,simple,ABL,wave2,Exec/ABL,Exec/ABL/inputs_deardorff_msf,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_msf,1,1,1.0,1,1,1,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_045637_270260"
d59c797241bb0a3b,simple,RegTests,wave2,Exec/RegTests/Bubble,Exec/RegTests/Bubble/inputs_BF02_moist_bubble_OpenBC,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_no_msf,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_050700_512825"
d7650878c7b9e6fb,simple,RegTests,wave2,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_advect_uniformU,ERF,Exec/ABL,Exec/ABL/inputs_deardorff,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260314_052327_273631"
