strategy,row_id,expected_case,expected_inputs
simple,900b3f88f35b2073,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_EB_multilevel
simple,91d955c98dbaf8ec,Exec/RegTests/Bubble,Exec/RegTests/Bubble/inputs_squall2d_x
simple,9634472d23ee150d,Exec/ABL/column_diffusion_test,Exec/ABL/column_diffusion_test/inputs_sfclay
simple,986363e97e04cf16,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_EB_y
simple,9a6fdfe94d4a0de8,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_hybrid
simple,9aa20744dbed59f7,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs_EB
simple,a4e50e087b4b88d1,Exec/RegTests/MultiSpeciesBubble,Exec/RegTests/MultiSpeciesBubble/inputs_moist_bubble.02species
simple,b4a636f4cce992b8,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_most_test
simple,b8c23290959781cc,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_stationary_no_msf
simple,beabac2255eb1381,Exec/RegTests/MultiSpeciesBubble,Exec/RegTests/MultiSpeciesBubble/inputs_dry_bubble.01species
simple,c22b5166bc752ddc,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_hybrid_zlev
simple,ca121bbd8567cee1,Exec/ABL/Scaling/Perlmutter,Exec/ABL/Scaling/Perlmutter/inputs_smagorinsky_StrongScaling
simple,d59c797241bb0a3b,Exec/RegTests/Bubble,Exec/RegTests/Bubble/inputs_BF02_moist_bubble_OpenBC
simple,d7650878c7b9e6fb,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_advect_uniformU
simple,d78a69f22d771488,Exec/RegTests/Terrain2d_Cylinder,Exec/RegTests/Terrain2d_Cylinder/inputs
simple,db4e657509d10746,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_WENO_Z
simple,dea760769a6cda9c,Exec/CanonicalFlows/SuperCell_3D,Exec/CanonicalFlows/SuperCell_3D/inputs_moisture_Tissaoui
simple,e22751b24f2fd087,Exec/RegTests/StokesSecondProblem,Exec/RegTests/StokesSecondProblem/inputs
simple,e4dda71206cf700e,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_EB_anelastic
simple,e4e660bdea33ede2,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting_no_msf
simple,e865e13d142b3282,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_test_rayleigh
simple,efefa2fa3b6c6685,Exec/CanonicalFlows/SquallLine_2D,Exec/CanonicalFlows/SquallLine_2D/inputs_ml
simple,f03e0b5fcd298923,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs_FittedMesh
simple,f4b7fbcf2fd600d8,Exec/RegTests/Bubble,Exec/RegTests/Bubble/inputs_BF02_moist_bubble_SAM
simple,f5d00c4d9faa26b1,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_EB_anelastic_twolevel
simple,fc44ea8611497ca0,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_WENO_Z
